timestamp,elapsed_sec,charge_mAh,level_pct,voltage_mV,temp_C,screen,brightness,network_type,wifi_state,mobile_state,gps,top_app,cpu_util_pct,gpu_util_pct
2026-01-30 13:04:09,0,5789.5,93,4326,27.2,on,100,none,off,off,off,,14.5,9.4
2026-01-30 13:04:39,30,5789.5,93,4300,27.0,on,100,none,off,off,off,,15.0,10.4
2026-01-30 13:05:09,60,5789.5,93,4321,26.7,on,100,none,off,off,off,,16.4,8.6
2026-01-30 13:05:39,90,5789.5,93,4309,26.6,on,100,none,off,off,off,,16.1,9.4
2026-01-30 13:06:09,120,5789.5,93,4306,27.0,on,100,none,off,off,off,,15.3,10.0
2026-01-30 13:06:39,150,5782.0,93,4320,26.8,on,100,none,off,off,off,,14.8,10.0
2026-01-30 13:07:09,180,5782.0,93,4313,26.8,on,100,none,off,off,off,,17.6,8.6
2026-01-30 13:07:39,210,5782.0,93,4303,26.9,on,100,none,off,off,off,,16.6,9.4
2026-01-30 13:08:09,240,5782.0,93,4303,26.9,on,100,none,off,off,off,,14.1,10.7
2026-01-30 13:08:39,270,5782.0,92,4302,27.3,on,100,none,off,off,off,,13.9,10.5
2026-01-30 13:09:09,300,5782.0,92,4303,27.0,on,100,none,off,off,off,,15.3,8.7
2026-01-30 13:09:39,330,5774.8,92,4307,26.8,on,100,none,off,off,off,,15.8,11.2
2026-01-30 13:10:09,360,5774.8,92,4312,26.8,on,100,none,off,off,off,,17.3,9.7
2026-01-30 13:10:39,390,5774.8,92,4322,27.1,on,100,none,off,off,off,,18.2,9.4
2026-01-30 13:11:09,420,5774.8,92,4299,27.0,on,100,none,off,off,off,,15.8,10.5
2026-01-30 13:11:39,450,5774.8,92,4294,26.8,on,100,none,off,off,off,,12.1,12.1
2026-01-30 13:12:09,480,5774.8,92,4316,26.9,on,100,none,off,off,off,,16.2,10.9
2026-01-30 13:12:39,510,5768.8,92,4323,27.0,on,100,none,off,off,off,,17.4,10.5
2026-01-30 13:13:09,540,5768.8,92,4307,27.2,on,100,none,off,off,off,,13.1,10.4
2026-01-30 13:13:39,570,5768.8,92,4293,27.1,on,100,none,off,off,off,,15.0,10.3
2026-01-30 13:14:09,600,5768.8,92,4317,27.5,on,100,none,off,off,off,,12.4,10.8
2026-01-30 13:14:39,630,5768.8,92,4309,27.1,on,100,none,off,off,off,,13.2,9.8
2026-01-30 13:15:09,660,5763.1,92,4292,27.1,on,100,none,off,off,off,,15.6,8.8
2026-01-30 13:15:39,690,5763.1,92,4306,26.8,on,100,none,off,off,off,,15.0,9.2
2026-01-30 13:16:09,720,5763.1,92,4314,27.0,on,100,none,off,off,off,,14.3,10.7
2026-01-30 13:16:39,750,5763.1,92,4293,26.9,on,100,none,off,off,off,,16.4,8.6
2026-01-30 13:17:09,780,5763.1,92,4305,27.2,on,100,none,off,off,off,,18.8,9.4
2026-01-30 13:17:39,810,5757.0,92,4311,27.4,on,100,none,off,off,off,,16.8,11.0
2026-01-30 13:18:09,840,5757.0,92,4298,26.8,on,100,none,off,off,off,,15.0,9.8
2026-01-30 13:18:39,870,5757.0,92,4298,27.1,on,100,none,off,off,off,,17.2,8.9
2026-01-30 13:19:09,900,5757.0,92,4309,26.6,on,100,none,off,off,off,,14.8,11.5
2026-01-30 13:19:39,930,5749.9,92,4296,27.3,on,100,none,off,off,off,,15.9,9.8
2026-01-30 13:20:09,960,5749.9,92,4308,27.2,on,100,none,off,off,off,,17.3,9.5
2026-01-30 13:20:39,990,5749.9,92,4295,26.6,on,100,none,off,off,off,,14.8,9.5
2026-01-30 13:21:09,1020,5749.9,92,4295,26.8,on,100,none,off,off,off,,10.7,10.0
2026-01-30 13:21:39,1050,5749.9,92,4292,26.9,on,100,none,off,off,off,,15.7,9.0
2026-01-30 13:22:09,1080,5749.9,91,4296,27.2,on,100,none,off,off,off,,14.7,9.1
2026-01-30 13:22:39,1110,5744.7,91,4307,27.0,on,100,none,off,off,off,,13.8,11.5
2026-01-30 13:23:09,1140,5744.7,91,4296,26.8,on,100,none,off,off,off,,16.3,10.7
2026-01-30 13:23:39,1170,5744.7,91,4298,27.1,on,100,none,off,off,off,,14.2,10.8
2026-01-30 13:24:09,1200,5744.7,91,4308,26.7,on,100,none,off,off,off,,14.9,8.4
2026-01-30 13:24:39,1230,5739.5,91,4302,26.8,on,100,none,off,off,off,,16.7,9.0
2026-01-30 13:25:09,1260,5739.5,91,4302,27.1,on,100,none,off,off,off,,14.4,9.2
2026-01-30 13:25:39,1290,5739.5,91,4316,26.4,on,100,none,off,off,off,,16.4,7.6
2026-01-30 13:26:09,1320,5739.5,91,4288,27.4,on,100,none,off,off,off,,13.9,9.8
2026-01-30 13:26:39,1350,5733.2,91,4306,26.8,on,100,none,off,off,off,,13.6,10.1
2026-01-30 13:27:09,1380,5733.2,91,4316,26.9,on,100,none,off,off,off,,12.7,10.9
2026-01-30 13:27:39,1410,5733.2,91,4293,27.6,on,100,none,off,off,off,,13.9,9.6
2026-01-30 13:28:09,1440,5733.2,91,4313,26.7,on,100,none,off,off,off,,14.0,11.9
2026-01-30 13:28:39,1470,5733.2,91,4290,27.2,on,100,none,off,off,off,,16.3,10.5
2026-01-30 13:29:09,1500,5733.2,91,4315,27.2,on,100,none,off,off,off,,14.4,9.0
2026-01-30 13:29:39,1530,5727.4,91,4291,26.7,on,100,none,off,off,off,,17.1,9.9
2026-01-30 13:30:09,1560,5727.4,91,4310,27.0,on,100,none,off,off,off,,16.5,11.2
2026-01-30 13:30:39,1590,5727.4,91,4286,27.0,on,100,none,off,off,off,,14.5,10.3
2026-01-30 13:31:09,1620,5727.4,91,4314,27.2,on,100,none,off,off,off,,16.7,11.3
2026-01-30 13:31:39,1650,5722.8,91,4289,26.8,on,100,none,off,off,off,,15.0,9.0
