timestamp,elapsed_sec,charge_mAh,level_pct,voltage_mV,temp_C,screen,brightness,network_type,wifi_state,mobile_state,gps,top_app,cpu_util_pct,gpu_util_pct
2026-02-01 16:01:36,0,5366.1,86,4217,28.3,on,128,wifi,on,off,on,,19.7,25.1
2026-02-01 16:02:36,60,5366.1,86,4220,28.0,on,128,wifi,on,off,on,,23.5,24.8
2026-02-01 16:03:36,120,5356.4,86,4213,28.4,on,128,wifi,on,off,on,,18.3,25.4
2026-02-01 16:04:36,180,5356.4,86,4237,28.1,on,128,wifi,on,off,on,,19.9,24.2
2026-02-01 16:05:36,240,5347.9,86,4216,28.3,on,128,wifi,on,off,on,,18.0,23.9
2026-02-01 16:06:36,300,5347.9,86,4217,28.1,on,128,wifi,on,off,on,,19.9,26.5
2026-02-01 16:07:36,360,5338.3,86,4210,28.4,on,128,wifi,on,off,on,,24.1,24.4
2026-02-01 16:08:36,420,5338.3,86,4234,28.2,on,128,wifi,on,off,on,,19.8,25.6
2026-02-01 16:09:36,480,5328.7,86,4232,28.1,on,128,wifi,on,off,on,,20.8,24.4
2026-02-01 16:10:36,540,5328.7,86,4207,28.2,on,128,wifi,on,off,on,,19.3,24.9
2026-02-01 16:11:36,600,5319.2,85,4208,28.3,on,128,wifi,on,off,on,,19.9,25.0
2026-02-01 16:12:36,660,5319.2,85,4211,28.2,on,128,wifi,on,off,on,,15.4,25.6
2026-02-01 16:13:36,720,5309.6,85,4224,28.5,on,128,wifi,on,off,on,,18.1,24.1
2026-02-01 16:14:36,780,5309.6,85,4228,28.8,on,128,wifi,on,off,on,,19.6,25.8
2026-02-01 16:15:36,840,5300.3,85,4201,28.4,on,128,wifi,on,off,on,,21.6,23.5
2026-02-01 16:16:36,900,5300.3,85,4201,28.2,on,128,wifi,on,off,on,,19.8,25.1
2026-02-01 16:17:36,960,5291.5,85,4206,28.1,on,128,wifi,on,off,on,,18.6,26.4
2026-02-01 16:18:36,1020,5291.5,85,4218,28.0,on,128,wifi,on,off,on,,19.1,25.3
2026-02-01 16:19:36,1080,5281.9,85,4212,28.2,on,128,wifi,on,off,on,,17.7,23.9
2026-02-01 16:20:36,1140,5281.9,85,4217,28.1,on,128,wifi,on,off,on,,24.5,26.3
2026-02-01 16:21:36,1200,5273.0,85,4207,28.2,on,128,wifi,on,off,on,,20.5,24.6
2026-02-01 16:22:36,1260,5273.0,85,4217,28.4,on,128,wifi,on,off,on,,15.4,25.1
2026-02-01 16:23:36,1320,5263.1,85,4216,28.5,on,128,wifi,on,off,on,,15.4,25.1
2026-02-01 16:24:36,1380,5263.1,85,4223,28.3,on,128,wifi,on,off,on,,25.0,25.8
2026-02-01 16:25:36,1440,5253.9,84,4216,28.6,on,128,wifi,on,off,on,,17.5,24.1
2026-02-01 16:26:36,1500,5253.9,84,4213,28.4,on,128,wifi,on,off,on,,23.3,24.0
2026-02-01 16:27:36,1560,5244.2,84,4206,28.2,on,128,wifi,on,off,on,,15.8,26.4
2026-02-01 16:28:36,1620,5244.2,84,4218,28.4,on,128,wifi,on,off,on,,24.5,26.1
2026-02-01 16:29:36,1680,5234.4,84,4217,28.3,on,128,wifi,on,off,on,,24.0,23.5
2026-02-01 16:30:36,1740,5234.4,84,4206,28.6,on,128,wifi,on,off,on,,21.0,26.1
2026-02-01 16:31:36,1800,5224.8,84,4193,28.4,on,128,wifi,on,off,on,,15.3,23.9
2026-02-01 16:32:36,1860,5224.8,84,4195,28.1,on,128,wifi,on,off,on,,17.8,25.0
2026-02-01 16:33:36,1920,5215.8,84,4182,28.4,on,128,wifi,on,off,on,,19.3,24.7
2026-02-01 16:34:36,1980,5215.8,84,4191,28.2,on,128,wifi,on,off,on,,19.9,25.5
2026-02-01 16:35:36,2040,5206.9,84,4189,28.3,on,128,wifi,on,off,on,,18.2,25.5
2026-02-01 16:36:36,2100,5206.9,84,4183,28.2,on,128,wifi,on,off,on,,15.6,24.0
2026-02-01 16:37:36,2160,5197.8,83,4206,28.8,on,128,wifi,on,off,on,,21.2,25.9
2026-02-01 16:38:36,2220,5197.8,83,4197,28.2,on,128,wifi,on,off,on,,20.5,25.5
2026-02-01 16:39:36,2280,5187.9,83,4201,28.2,on,128,wifi,on,off,on,,18.1,25.2
2026-02-01 16:40:36,2340,5187.9,83,4184,28.4,on,128,wifi,on,off,on,,15.6,24.1
2026-02-01 16:41:36,2400,5179.1,83,4183,28.2,on,128,wifi,on,off,on,,25.2,25.9
2026-02-01 16:42:36,2460,5179.1,83,4192,28.3,on,128,wifi,on,off,on,,20.1,23.2
2026-02-01 16:43:36,2520,5169.9,83,4187,28.8,on,128,wifi,on,off,on,,22.8,24.7
2026-02-01 16:44:36,2580,5169.9,83,4195,28.5,on,128,wifi,on,off,on,,19.8,24.7
2026-02-01 16:45:36,2640,5160.7,83,4187,28.4,on,128,wifi,on,off,on,,15.7,22.0
2026-02-01 16:46:36,2700,5160.7,83,4183,28.5,on,128,wifi,on,off,on,,18.4,26.0
2026-02-01 16:47:36,2760,5151.1,83,4196,28.4,on,128,wifi,on,off,on,,18.5,24.3
2026-02-01 16:48:36,2820,5151.1,83,4170,28.4,on,128,wifi,on,off,on,,23.6,24.4
2026-02-01 16:49:36,2880,5142.3,83,4167,28.3,on,128,wifi,on,off,on,,21.8,24.5
2026-02-01 16:50:36,2940,5142.3,83,4166,28.0,on,128,wifi,on,off,on,,18.0,27.1
2026-02-01 16:51:36,3000,5132.7,82,4181,28.3,on,128,wifi,on,off,on,,24.9,24.0
2026-02-01 16:52:36,3060,5132.7,82,4187,28.7,on,128,wifi,on,off,on,,18.5,25.5
2026-02-01 16:53:36,3120,5123.2,82,4170,28.2,on,128,wifi,on,off,on,,25.2,26.8
2026-02-01 16:54:36,3180,5123.2,82,4174,28.2,on,128,wifi,on,off,on,,25.2,23.8
2026-02-01 16:55:36,3240,5113.6,82,4161,28.4,on,128,wifi,on,off,on,,17.2,26.5
2026-02-01 16:56:36,3300,5113.6,82,4166,28.1,on,128,wifi,on,off,on,,18.4,24.9
2026-02-01 16:57:36,3360,5103.7,82,4173,28.5,on,128,wifi,on,off,on,,20.1,23.3
2026-02-01 16:58:36,3420,5103.7,82,4188,28.1,on,128,wifi,on,off,on,,21.9,24.0
2026-02-01 16:59:36,3480,5094.9,82,4176,28.6,on,128,wifi,on,off,on,,20.5,26.4
2026-02-01 17:00:36,3540,5094.9,82,4174,28.1,on,128,wifi,on,off,on,,24.9,24.8
2026-02-01 17:01:36,3600,5084.8,82,4178,28.2,on,128,wifi,on,off,on,,22.5,25.1
2026-02-01 17:02:36,3660,5084.8,82,4168,28.3,on,128,wifi,on,off,on,,17.4,25.6
2026-02-01 17:03:36,3720,5075.7,82,4173,28.4,on,128,wifi,on,off,on,,16.3,26.5
2026-02-01 17:04:36,3780,5075.7,82,4162,28.2,on,128,wifi,on,off,on,,22.1,26.7
2026-02-01 17:05:36,3840,5066.6,81,4150,28.3,on,128,wifi,on,off,on,,16.8,25.1
2026-02-01 17:06:36,3900,5066.6,81,4170,28.3,on,128,wifi,on,off,on,,23.1,23.9
2026-02-01 17:07:36,3960,5057.0,81,4154,28.4,on,128,wifi,on,off,on,,18.4,24.3
2026-02-01 17:08:36,4020,5057.0,81,4167,28.2,on,128,wifi,on,off,on,,18.5,24.4
2026-02-01 17:09:36,4080,5047.7,81,4152,28.1,on,128,wifi,on,off,on,,15.4,26.1
2026-02-01 17:10:36,4140,5047.7,81,4154,28.0,on,128,wifi,on,off,on,,22.3,25.0
2026-02-01 17:11:36,4200,5038.2,81,4147,27.9,on,128,wifi,on,off,on,,16.4,23.5
2026-02-01 17:12:36,4260,5038.2,81,4151,28.2,on,128,wifi,on,off,on,,23.0,24.4
2026-02-01 17:13:36,4320,5028.6,81,4165,28.5,on,128,wifi,on,off,on,,20.2,23.7
2026-02-01 17:14:36,4380,5028.6,81,4165,28.4,on,128,wifi,on,off,on,,23.1,25.4
2026-02-01 17:15:36,4440,5019.9,81,4139,28.2,on,128,wifi,on,off,on,,21.1,26.2
2026-02-01 17:16:36,4500,5019.9,81,4140,28.6,on,128,wifi,on,off,on,,16.1,25.1
2026-02-01 17:17:36,4560,5010.0,81,4155,28.4,on,128,wifi,on,off,on,,22.9,25.0
2026-02-01 17:18:36,4620,5010.0,81,4150,28.7,on,128,wifi,on,off,on,,16.0,24.0
2026-02-01 17:19:36,4680,5001.3,80,4154,28.3,on,128,wifi,on,off,on,,20.0,23.7
2026-02-01 17:20:36,4740,5001.3,80,4144,28.4,on,128,wifi,on,off,on,,17.0,25.4
2026-02-01 17:21:36,4800,4991.8,80,4141,28.3,on,128,wifi,on,off,on,,22.8,25.0
2026-02-01 17:22:36,4860,4991.8,80,4142,28.4,on,128,wifi,on,off,on,,24.4,23.9
2026-02-01 17:23:36,4920,4982.6,80,4159,28.4,on,128,wifi,on,off,on,,20.8,24.8
2026-02-01 17:24:36,4980,4982.6,80,4136,28.2,on,128,wifi,on,off,on,,20.5,24.7
2026-02-01 17:25:36,5040,4973.3,80,4145,28.3,on,128,wifi,on,off,on,,22.9,25.1
2026-02-01 17:26:36,5100,4973.3,80,4156,28.3,on,128,wifi,on,off,on,,15.3,24.3
2026-02-01 17:27:36,5160,4964.4,80,4151,28.1,on,128,wifi,on,off,on,,24.4,24.8
2026-02-01 17:28:36,5220,4964.4,80,4132,28.0,on,128,wifi,on,off,on,,17.2,23.8
2026-02-01 17:29:36,5280,4955.1,80,4128,28.3,on,128,wifi,on,off,on,,25.1,23.2
2026-02-01 17:30:36,5340,4955.1,80,4154,28.4,on,128,wifi,on,off,on,,22.6,24.3
2026-02-01 17:31:36,5400,4945.4,79,4142,28.5,on,128,wifi,on,off,on,,23.0,24.5
2026-02-01 17:32:36,5460,4945.4,79,4125,28.3,on,128,wifi,on,off,on,,21.8,25.1
2026-02-01 17:33:36,5520,4936.1,79,4143,28.2,on,128,wifi,on,off,on,,20.0,27.2
2026-02-01 17:34:36,5580,4936.1,79,4139,28.2,on,128,wifi,on,off,on,,21.0,24.4
2026-02-01 17:35:36,5640,4926.3,79,4136,28.5,on,128,wifi,on,off,on,,15.7,25.5
2026-02-01 17:36:36,5700,4926.3,79,4144,28.4,on,128,wifi,on,off,on,,21.5,23.8
2026-02-01 17:37:36,5760,4917.1,79,4140,28.2,on,128,wifi,on,off,on,,21.5,24.5
2026-02-01 17:38:36,5820,4917.1,79,4120,28.1,on,128,wifi,on,off,on,,24.2,25.0
2026-02-01 17:39:36,5880,4908.1,79,4122,28.1,on,128,wifi,on,off,on,,20.3,26.5
2026-02-01 17:40:36,5940,4908.1,79,4131,28.4,on,128,wifi,on,off,on,,16.0,24.2
2026-02-01 17:41:36,6000,4898.8,79,4143,28.3,on,128,wifi,on,off,on,,18.3,27.2
2026-02-01 17:42:36,6060,4898.8,79,4117,27.8,on,128,wifi,on,off,on,,21.8,25.7
2026-02-01 17:43:36,6120,4890.4,79,4123,28.8,on,128,wifi,on,off,on,,17.6,23.5
2026-02-01 17:44:36,6180,4890.4,79,4135,28.4,on,128,wifi,on,off,on,,18.1,25.8
2026-02-01 17:45:36,6240,4880.1,78,4109,28.5,on,128,wifi,on,off,on,,23.5,25.0
2026-02-01 17:46:36,6300,4880.1,78,4135,28.4,on,128,wifi,on,off,on,,21.1,24.6
2026-02-01 17:47:36,6360,4870.8,78,4119,28.2,on,128,wifi,on,off,on,,20.3,24.5
2026-02-01 17:48:36,6420,4870.8,78,4110,28.4,on,128,wifi,on,off,on,,18.4,25.5
2026-02-01 17:49:36,6480,4861.4,78,4126,28.5,on,128,wifi,on,off,on,,22.6,27.4
