timestamp,elapsed_sec,charge_mAh,level_pct,voltage_mV,temp_C,screen,brightness,network_type,wifi_state,mobile_state,gps,top_app,cpu_util_pct,gpu_util_pct
2026-02-01 12:13:56,0,5460.1,88,4256,27.1,on,128,5g,off,on,off,,22.7,7.8
2026-02-01 12:14:56,60,5460.1,88,4252,26.9,on,128,5g,off,on,off,,17.3,7.3
2026-02-01 12:15:56,120,5460.1,88,4266,27.1,on,128,5g,off,on,off,,20.6,6.1
2026-02-01 12:16:56,180,5446.7,88,4262,27.5,on,128,5g,off,on,off,,22.6,6.2
2026-02-01 12:17:56,240,5446.7,88,4243,27.0,on,128,5g,off,on,off,,21.5,8.2
2026-02-01 12:18:56,300,5436.8,88,4247,27.1,on,128,5g,off,on,off,,20.0,7.0
2026-02-01 12:19:56,360,5436.8,88,4249,26.8,on,128,5g,off,on,off,,24.9,7.8
2026-02-01 12:20:56,420,5427.1,88,4250,27.0,on,128,5g,off,on,off,,22.0,7.3
2026-02-01 12:21:56,480,5427.1,87,4229,27.2,on,128,5g,off,on,off,,24.3,7.5
2026-02-01 12:22:56,540,5427.1,87,4258,26.9,on,128,5g,off,on,off,,22.6,7.5
2026-02-01 12:23:56,600,5413.3,87,4252,26.8,on,128,5g,off,on,off,,22.6,6.2
2026-02-01 12:24:56,660,5413.3,87,4237,27.3,on,128,5g,off,on,off,,16.1,6.5
2026-02-01 12:25:56,720,5404.4,87,4238,26.7,on,128,5g,off,on,off,,18.8,8.6
2026-02-01 12:26:56,780,5404.4,87,4241,26.9,on,128,5g,off,on,off,,23.8,7.2
2026-02-01 12:27:56,840,5395.0,87,4252,26.9,on,128,5g,off,on,off,,17.6,8.9
2026-02-01 12:28:56,900,5395.0,87,4249,27.2,on,128,5g,off,on,off,,16.4,8.5
2026-02-01 12:29:56,960,5385.2,87,4249,27.4,on,128,5g,off,on,off,,18.5,8.1
2026-02-01 12:30:56,1020,5385.2,87,4242,27.1,on,128,5g,off,on,off,,17.5,7.9
2026-02-01 12:31:56,1080,5385.2,87,4233,27.2,on,128,5g,off,on,off,,24.5,7.5
2026-02-01 12:32:56,1140,5371.3,87,4246,27.2,on,128,5g,off,on,off,,23.9,7.8
2026-02-01 12:33:56,1200,5371.3,87,4217,26.9,on,128,5g,off,on,off,,20.3,8.2
2026-02-01 12:34:56,1260,5361.6,87,4227,26.7,on,128,5g,off,on,off,,15.9,6.9
2026-02-01 12:35:56,1320,5361.6,87,4244,27.0,on,128,5g,off,on,off,,22.4,6.6
2026-02-01 12:36:56,1380,5352.1,87,4226,27.2,on,128,5g,off,on,off,,21.5,7.9
2026-02-01 12:37:56,1440,5352.1,87,4218,27.1,on,128,5g,off,on,off,,25.0,6.9
2026-02-01 12:38:56,1500,5342.6,87,4224,27.2,on,128,5g,off,on,off,,20.8,6.9
2026-02-01 12:39:56,1560,5342.6,87,4229,27.4,on,128,5g,off,on,off,,18.6,9.6
2026-02-01 12:40:56,1620,5333.4,87,4217,26.9,on,128,5g,off,on,off,,20.4,9.5
