timestamp,elapsed_sec,charge_mAh,level_pct,voltage_mV,temp_C,screen,brightness,network_type,wifi_state,mobile_state,gps,top_app,cpu_util_pct,gpu_util_pct
2026-01-31 21:01:49,0,6054.7,96,4367,28.6,on,200,wifi,on,off,off,,86.4,89.3
2026-01-31 21:02:19,30,6044.4,96,4370,32.1,on,200,wifi,on,off,off,,83.5,89.4
2026-01-31 21:02:49,60,6037.9,96,4359,32.8,on,200,wifi,on,off,off,,85.4,89.8
2026-01-31 21:03:19,90,6029.5,96,4364,33.8,on,200,wifi,on,off,off,,82.6,88.9
2026-01-31 21:03:49,120,6021.0,96,4353,33.3,on,200,wifi,on,off,off,,83.2,88.2
2026-01-31 21:04:19,150,6011.9,95,4360,35.2,on,200,wifi,on,off,off,,87.5,89.5
2026-01-31 21:04:49,180,6003.8,95,4359,34.0,on,200,wifi,on,off,off,,85.5,90.2
2026-01-31 21:05:19,210,5993.9,95,4339,34.3,on,200,wifi,on,off,off,,85.3,90.1
2026-01-31 21:05:49,240,5984.6,95,4344,35.0,on,200,wifi,on,off,off,,86.2,90.8
2026-01-31 21:06:19,270,5976.5,95,4334,37.2,on,200,wifi,on,off,off,,85.2,89.8
2026-01-31 21:06:49,300,5965.7,95,4351,37.4,on,200,wifi,on,off,off,,86.5,89.6
2026-01-31 21:07:19,330,5959.9,95,4341,38.0,on,200,wifi,on,off,off,,84.9,89.8
2026-01-31 21:07:49,360,5949.0,94,4326,36.9,on,200,wifi,on,off,off,,87.2,90.5
2026-01-31 21:08:19,390,5941.9,94,4352,38.6,on,200,wifi,on,off,off,,86.0,90.0
2026-01-31 21:08:49,420,5932.3,94,4342,39.9,on,200,wifi,on,off,off,,84.6,90.4
2026-01-31 21:09:19,450,5921.2,94,4325,39.4,on,200,wifi,on,off,off,,83.3,90.4
2026-01-31 21:09:49,480,5914.4,94,4327,40.6,on,200,wifi,on,off,off,,87.0,90.4
2026-01-31 21:10:19,510,5904.2,94,4329,39.4,on,200,wifi,on,off,off,,86.4,90.0
2026-01-31 21:10:49,540,5896.9,94,4317,41.4,on,200,wifi,on,off,off,,82.0,91.3
2026-01-31 21:11:19,570,5886.2,93,4326,40.9,on,200,wifi,on,off,off,,83.2,90.8
2026-01-31 21:11:49,600,5880.1,93,4317,40.0,on,200,wifi,on,off,off,,86.0,88.5
2026-01-31 21:12:19,630,5871.2,93,4333,40.3,on,200,wifi,on,off,off,,84.1,90.8
2026-01-31 21:12:49,660,5859.3,93,4314,41.7,on,200,wifi,on,off,off,,83.6,91.6
