timestamp,elapsed_sec,charge_mAh,level_pct,voltage_mV,temp_C,screen,brightness,network_type,wifi_state,mobile_state,gps,top_app,cpu_util_pct,gpu_util_pct
2026-02-01 08:13:11,0,5642.2,90,4272,26.9,on,128,wifi,on,off,off,,17.3,7.4
2026-02-01 08:14:11,60,5642.2,90,4276,27.4,on,128,wifi,on,off,off,,23.3,8.0
2026-02-01 08:15:11,120,5633.5,89,4292,27.4,on,128,wifi,on,off,off,,23.8,7.0
2026-02-01 08:16:11,180,5633.5,89,4290,27.3,on,128,wifi,on,off,off,,18.1,7.4
2026-02-01 08:17:11,240,5624.0,89,4291,27.1,on,128,wifi,on,off,off,,24.8,9.1
2026-02-01 08:18:11,300,5624.0,89,4296,27.4,on,128,wifi,on,off,off,,15.8,7.7
2026-02-01 08:19:11,360,5615.1,89,4270,26.9,on,128,wifi,on,off,off,,16.8,8.6
2026-02-01 08:20:11,420,5615.1,89,4283,26.9,on,128,wifi,on,off,off,,20.6,9.3
2026-02-01 08:21:11,480,5606.6,89,4279,27.0,on,128,wifi,on,off,off,,21.0,7.0
2026-02-01 08:22:11,540,5606.6,89,4271,26.9,on,128,wifi,on,off,off,,21.7,7.6
2026-02-01 08:23:11,600,5598.2,89,4287,27.1,on,128,wifi,on,off,off,,15.4,8.7
2026-02-01 08:24:11,660,5598.2,89,4292,27.1,on,128,wifi,on,off,off,,24.9,6.6
2026-02-01 08:25:11,720,5589.4,89,4286,27.0,on,128,wifi,on,off,off,,15.7,9.2
2026-02-01 08:26:11,780,5589.4,89,4280,26.7,on,128,wifi,on,off,off,,16.7,8.0
2026-02-01 08:27:11,840,5580.1,89,4280,26.9,on,128,wifi,on,off,off,,15.4,9.2
2026-02-01 08:28:11,900,5580.1,89,4289,27.2,on,128,wifi,on,off,off,,20.9,8.0
2026-02-01 08:29:11,960,5570.9,89,4268,27.1,on,128,wifi,on,off,off,,24.6,8.4
2026-02-01 08:30:11,1020,5570.9,89,4267,27.0,on,128,wifi,on,off,off,,21.9,7.0
2026-02-01 08:31:11,1080,5562.6,89,4279,27.0,on,128,wifi,on,off,off,,23.5,8.6
2026-02-01 08:32:11,1140,5562.6,89,4280,27.4,on,128,wifi,on,off,off,,15.4,7.8
2026-02-01 08:33:11,1200,5553.7,89,4266,27.4,on,128,wifi,on,off,off,,20.7,7.8
2026-02-01 08:34:11,1260,5553.7,89,4275,26.8,on,128,wifi,on,off,off,,19.9,7.2
